CodLift;DataEvent;Flags;Num;Name
50;2020-02-06 20:27:51.000;18;128;44 - Охрана шахты
50;2020-02-06 20:32:04.000;18;132;Отсутствует напряжение в цепи управления
50;2020-02-06 20:32:04.000;18;178;Отсутствует обмен с MCS
50;2020-02-06 20:32:04.000;16;128;44 - Охрана шахты
50;2020-02-06 20:32:04.000;16;164;Аварийная блокировка
50;2020-02-06 20:32:23.000;16;130;Многократный реверс дверей
50;2020-02-06 20:32:23.000;16;132;Отсутствует напряжение в цепи управления
50;2020-02-06 20:32:23.000;16;162;Проникновение в шахту
50;2020-02-06 20:32:23.000;16;178;Отсутствует обмен с MCS
50;2020-02-07 05:34:29.000;18;164;Аварийная блокировка
50;2020-02-07 05:34:35.000;18;162;Проникновение в шахту
50;2020-02-07 05:34:35.000;18;128;44 - Охрана шахты
50;2020-02-07 05:35:01.000;18;148;Вызов диспетчера из кабины
50;2020-02-07 05:39:02.000;16;148;Вызов диспетчера
50;2020-02-07 05:39:22.000;18;132;Отсутствует напряжение в цепи управления
50;2020-02-07 05:39:22.000;18;178;Отсутствует обмен с MCS
50;2020-02-07 05:39:22.000;16;128;44 - Охрана шахты
50;2020-02-07 05:39:22.000;16;164;Аварийная блокировка
50;2020-02-07 05:39:48.000;16;132;Отсутствует напряжение в цепи управления
50;2020-02-07 05:39:48.000;16;162;Проникновение в шахту
50;2020-02-07 05:39:48.000;16;178;Отсутствует обмен с MCS
150;2020-02-07 10:33:29.000;18;213;Нет связи
150;2020-02-07 10:34:50.000;16;213;Нет связи
150;2020-02-07 10:36:29.000;18;213;Нет связи
150;2020-02-07 10:36:44.000;16;213;Нет связи
150;2020-02-07 10:39:09.000;18;213;Нет связи
150;2020-02-07 10:45:09.000;16;213;Нет связи
150;2020-02-07 10:45:19.000;18;165;Открыто МП
150;2020-02-07 10:45:19.000;18;131;Проникновение в МП
150;2020-02-07 10:45:30.000;16;131;Проникновение в МП
150;2020-02-07 10:45:31.000;18;128;247 - Ревизия
150;2020-02-07 10:58:16.000;18;236;Резервное питание ЛБ
150;2020-02-07 10:58:25.000;18;178;Отсутствует обмен с MCS
150;2020-02-07 10:58:25.000;18;132;Отсутствует напряжение в цепи управления
150;2020-02-07 10:58:25.000;16;128;247 - Ревизия
150;2020-02-07 11:03:41.000;16;236;Резервное питание ЛБ
150;2020-02-07 11:03:43.000;16;178;Отсутствует обмен с MCS
150;2020-02-07 11:03:43.000;16;132;Отсутствует напряжение в цепи управления
150;2020-02-07 11:03:54.000;26;128;SVT - Подключен Service Tool
150;2020-02-07 11:07:09.000;18;213;Нет связи
150;2020-02-07 11:07:09.000;16;128;SVT - Подключен Service Tool
150;2020-02-07 11:07:09.000;16;165;Открыто МП
150;2020-02-07 11:07:12.000;18;129;Рестарт блока
150;2020-02-07 11:07:12.000;18;165;Открыто МП
150;2020-02-07 11:07:12.000;16;213;Нет связи
150;2020-02-07 11:07:12.000;2;8;Рестарт ЛБ - код рестарта 0x05
150;2020-02-07 11:07:12.000;16;129;Рестарт блока
150;2020-02-07 11:10:29.000;18;213;Нет связи
150;2020-02-07 11:10:29.000;16;165;Открыто МП
150;2020-02-07 11:31:05.000;18;165;Открыто МП
150;2020-02-07 11:31:05.000;16;213;Нет связи
150;2020-02-07 11:34:40.000;16;165;Открыто МП
150;2020-02-07 11:36:09.000;18;213;Нет связи
150;2020-02-07 11:38:17.000;18;131;Проникновение в МП
